relative_altitude_ft,vertical_rate_ft_s,tau_sec,previous_advisory,optimal_advisory
-700,33.3333333333333,3,1,COC
-700,33.3333333333333,3,2,COC
-700,33.3333333333333,4,0,COC
-700,33.3333333333333,4,1,COC
-700,33.3333333333333,4,2,COC
-700,33.3333333333333,5,0,COC
-700,33.3333333333333,5,1,COC
-700,33.3333333333333,5,2,COC
-700,33.3333333333333,6,0,COC
-700,33.3333333333333,6,1,COC
-700,33.3333333333333,6,2,COC
-700,33.3333333333333,7,0,COC
-700,33.3333333333333,7,1,COC
-700,33.3333333333333,7,2,COC
-700,33.3333333333333,8,0,COC
-700,33.3333333333333,8,1,COC
-700,33.3333333333333,8,2,RIGHT
-700,33.3333333333333,9,0,RIGHT
-700,33.3333333333333,9,1,COC
-700,33.3333333333333,9,2,RIGHT
-700,33.3333333333333,10,0,RIGHT
-700,33.3333333333333,10,1,COC
-700,33.3333333333333,10,2,RIGHT
-700,33.3333333333333,11,0,RIGHT
-700,33.3333333333333,11,1,COC
-700,33.3333333333333,11,2,RIGHT
-700,33.3333333333333,12,0,RIGHT
-700,33.3333333333333,12,1,COC
-700,33.3333333333333,12,2,RIGHT
-700,33.3333333333333,13,0,RIGHT
-700,33.3333333333333,13,1,COC
-700,33.3333333333333,13,2,RIGHT
-700,33.3333333333333,14,0,RIGHT
-700,33.3333333333333,14,1,COC
-700,33.3333333333333,14,2,RIGHT
-700,33.3333333333333,15,0,RIGHT
-700,33.3333333333333,15,1,COC
-700,33.3333333333333,15,2,RIGHT
-700,33.3333333333333,16,0,RIGHT
-700,33.3333333333333,16,1,COC
-700,33.3333333333333,16,2,RIGHT
-700,33.3333333333333,17,0,RIGHT
-700,33.3333333333333,17,1,COC
-700,33.3333333333333,17,2,RIGHT
-700,33.3333333333333,18,0,RIGHT
-700,33.3333333333333,18,1,COC
-700,33.3333333333333,18,2,RIGHT
-700,33.3333333333333,19,0,RIGHT
-700,33.3333333333333,19,1,COC
-700,33.3333333333333,19,2,RIGHT
-700,33.3333333333333,20,0,RIGHT
-700,33.3333333333333,20,1,COC
-700,33.3333333333333,20,2,RIGHT
-700,33.3333333333333,21,0,RIGHT
-700,33.3333333333333,21,1,COC
-700,33.3333333333333,21,2,RIGHT
-700,33.3333333333333,22,0,RIGHT
-700,33.3333333333333,22,1,COC
-700,33.3333333333333,22,2,RIGHT
-700,33.3333333333333,23,0,RIGHT
-700,33.3333333333333,23,1,COC
-700,33.3333333333333,23,2,RIGHT
-700,33.3333333333333,24,0,RIGHT
-700,33.3333333333333,24,1,COC
-700,33.3333333333333,24,2,RIGHT
-700,33.3333333333333,25,0,RIGHT
-700,33.3333333333333,25,1,COC
-700,33.3333333333333,25,2,RIGHT
-700,33.3333333333333,26,0,RIGHT
-700,33.3333333333333,26,1,COC
-700,33.3333333333333,26,2,RIGHT
-700,33.3333333333333,27,0,RIGHT
-700,33.3333333333333,27,1,COC
-700,33.3333333333333,27,2,RIGHT
-700,33.3333333333333,28,0,RIGHT
-700,33.3333333333333,28,1,COC
-700,33.3333333333333,28,2,RIGHT
-700,33.3333333333333,29,0,RIGHT
-700,33.3333333333333,29,1,COC
-700,33.3333333333333,29,2,RIGHT
-700,33.3333333333333,30,0,RIGHT
-700,33.3333333333333,30,1,COC
-700,33.3333333333333,30,2,RIGHT
-700,33.3333333333333,31,0,RIGHT
-700,33.3333333333333,31,1,COC
-700,33.3333333333333,31,2,RIGHT
-700,33.3333333333333,32,0,RIGHT
-700,33.3333333333333,32,1,COC
-700,33.3333333333333,32,2,RIGHT
-700,33.3333333333333,33,0,RIGHT
-700,33.3333333333333,33,1,COC
-700,33.3333333333333,33,2,RIGHT
-700,33.3333333333333,34,0,COC
-700,33.3333333333333,34,1,COC
-700,33.3333333333333,34,2,RIGHT
-700,33.3333333333333,35,0,COC
-700,33.3333333333333,35,1,COC
-700,33.3333333333333,35,2,RIGHT
-700,33.3333333333333,36,0,COC
-700,33.3333333333333,36,1,COC
-700,33.3333333333333,36,2,RIGHT
-700,33.3333333333333,37,0,COC
-700,33.3333333333333,37,1,COC
-700,33.3333333333333,37,2,RIGHT
-700,33.3333333333333,38,0,COC
-700,33.3333333333333,38,1,COC
-700,33.3333333333333,38,2,RIGHT
-700,33.3333333333333,39,0,COC
-700,33.3333333333333,39,1,COC
-700,33.3333333333333,39,2,RIGHT
-700,33.3333333333333,40,0,COC
-700,33.3333333333333,40,1,COC
-700,33.3333333333333,40,2,RIGHT
-700,37.5,0,0,COC
-700,37.5,0,1,COC
-700,37.5,0,2,COC
-700,37.5,1,0,COC
-700,37.5,1,1,COC
-700,37.5,1,2,COC
-700,37.5,2,0,COC
-700,37.5,2,1,COC
-700,37.5,2,2,COC
-700,37.5,3,0,COC
-700,37.5,3,1,COC
-700,37.5,3,2,COC
-700,37.5,4,0,COC
-700,37.5,4,1,COC
-700,37.5,4,2,COC
-700,37.5,5,0,COC
-700,37.5,5,1,COC
-700,37.5,5,2,COC
-700,37.5,6,0,COC
-700,37.5,6,1,COC
-700,37.5,6,2,COC
-700,37.5,7,0,COC
-700,37.5,7,1,COC
-700,37.5,7,2,RIGHT
-700,37.5,8,0,RIGHT
-700,37.5,8,1,COC
-700,37.5,8,2,RIGHT
-700,37.5,9,0,RIGHT
-700,37.5,9,1,COC
-700,37.5,9,2,RIGHT
